LayerName,LayerType,BenchmarkName,RealTime(ms),Theoretical Flops
Convolution28,Conv,CONV_FWD_11916394861271809093<CUDNN_CONVOLUTION_FWD_A...,0.011335,2508800
Plus30,ElementWise,OP_TENSOR_ADD_FWD9386201358171253770,0.006927,50176
ReLU32,Relu,ACTIVATION_FWD17569505880347722081<CUDNN_ACTIVATION_C...,0.006411,150528
Pooling66,Pooling,POOLING_FWD16917048488370273554<CUDNN_POOLING_MAX>,0.005709,50176
Convolution110,Conv,CONV_FWD_27241837837395805638<CUDNN_CONVOLUTION_FWD_A...,0.018545,10035200
Plus112,ElementWise,OP_TENSOR_ADD_FWD5221178606736482534,0.006748,25088
ReLU114,Relu,ACTIVATION_FWD4171541218224819597<CUDNN_ACTIVATION_CL...,0.006309,75264
Pooling160,Pooling,POOLING_FWD4134183325967481422<CUDNN_POOLING_MAX>,0.005932,18432
Times212,Gemm,GEMV_FWD9156200191295290746,0.005144,5130
,,Total,0.073060,12918794
