LayerName,LayerType,BenchmarkName,RealTime(ms),Theoretical Flops
Minus340,ElementWise,OP_TENSOR_ADD_FWD12271790747696839756,0.008518,32768
Block352,ElementWise,OP_TENSOR_MUL_FWD4347143950544172774,0.008505,65536
Convolution362,Conv,CONV_FWD_27958502191724481334<CUDNN_CONVOLUTION_FWD_A...,0.035007,37748736
Plus364,ElementWise,OP_TENSOR_ADD_FWD1227435783756545791,0.039498,2097152
ReLU366,Relu,ACTIVATION_FWD6960782384555627412<CUDNN_ACTIVATION_RE...,0.029914,6291456
Convolution380,Conv,CONV_FWD_016605811062467510271<CUDNN_CONVOLUTION_FWD_...,0.133553,2415919104
Plus382,ElementWise,OP_TENSOR_ADD_FWD1227435783756545791,0.039498,2097152
ReLU384,Relu,ACTIVATION_FWD6960782384555627412<CUDNN_ACTIVATION_RE...,0.029914,6291456
Pooling398,Pooling,POOLING_FWD9814329755636642278<CUDNN_POOLING_MAX>,0.020275,2097152
Dropout408,Dropout,DROPOUT_FWD11653099213578239356,0.026611,524288
Convolution418,Conv,CONV_FWD_415066419231199717998<CUDNN_CONVOLUTION_FWD_...,0.081087,1207959552
Plus420,ElementWise,OP_TENSOR_ADD_FWD16478222387832150570,0.023785,1048576
ReLU422,Relu,ACTIVATION_FWD10754445352930817857<CUDNN_ACTIVATION_C...,0.018082,3145728
Convolution436,Conv,CONV_FWD_311104686870154808311<CUDNN_CONVOLUTION_FWD_...,0.138630,2415919104
Plus438,ElementWise,OP_TENSOR_ADD_FWD16478222387832150570,0.023785,1048576
ReLU440,Relu,ACTIVATION_FWD10754445352930817857<CUDNN_ACTIVATION_C...,0.018082,3145728
Pooling454,Pooling,POOLING_FWD3702873218521059307<CUDNN_POOLING_MAX_DETE...,0.010096,1048576
Dropout464,Dropout,DROPOUT_FWD12723715171359504788,0.024529,262144
Convolution474,Conv,CONV_FWD_31336758992173907947<CUDNN_CONVOLUTION_FWD_A...,0.077732,1207959552
Plus476,ElementWise,OP_TENSOR_ADD_FWD500144183205325294,0.010698,524288
ReLU478,Relu,ACTIVATION_FWD8602383921478042757<CUDNN_ACTIVATION_CL...,0.009479,1572864
Convolution492,Conv,CONV_FWD_011820125801880937491<CUDNN_CONVOLUTION_FWD_...,0.138318,2415919104
Plus494,ElementWise,OP_TENSOR_ADD_FWD500144183205325294,0.010698,524288
ReLU496,Relu,ACTIVATION_FWD8602383921478042757<CUDNN_ACTIVATION_CL...,0.009479,1572864
Convolution510,Conv,CONV_FWD_011820125801880937491<CUDNN_CONVOLUTION_FWD_...,0.138318,2415919104
Plus512,ElementWise,OP_TENSOR_ADD_FWD500144183205325294,0.010698,524288
ReLU514,Relu,ACTIVATION_FWD8602383921478042757<CUDNN_ACTIVATION_CL...,0.009479,1572864
Pooling528,Pooling,POOLING_FWD15582259120037504623<CUDNN_POOLING_MAX_DET...,0.008361,524288
Dropout538,Dropout,DROPOUT_FWD10532454241010462916,0.023361,131072
Convolution548,Conv,CONV_FWD_47965109722015454971<CUDNN_CONVOLUTION_FWD_A...,0.081987,603979776
Plus550,ElementWise,OP_TENSOR_ADD_FWD4075699674166914429,0.008967,131072
ReLU552,Relu,ACTIVATION_FWD5268890124454821910<CUDNN_ACTIVATION_CL...,0.008450,393216
Convolution566,Conv,CONV_FWD_47965109722015454971<CUDNN_CONVOLUTION_FWD_A...,0.081987,603979776
Plus568,ElementWise,OP_TENSOR_ADD_FWD4075699674166914429,0.008967,131072
ReLU570,Relu,ACTIVATION_FWD5268890124454821910<CUDNN_ACTIVATION_CL...,0.008450,393216
Convolution584,Conv,CONV_FWD_47965109722015454971<CUDNN_CONVOLUTION_FWD_A...,0.081987,603979776
Plus586,ElementWise,OP_TENSOR_ADD_FWD4075699674166914429,0.008967,131072
ReLU588,Relu,ACTIVATION_FWD5268890124454821910<CUDNN_ACTIVATION_CL...,0.008450,393216
Pooling602,Pooling,POOLING_FWD7374398623897052999<CUDNN_POOLING_MAX_DETE...,0.007358,131072
Dropout612,Dropout,DROPOUT_FWD2505870008598185022,0.014223,32768
Times622,Gemm,GEMV_FWD18430978388806864932,0.051021,8389632
Plus624,ElementWise,OP_TENSOR_ADD_FWD2236676450438229036,0.008465,1024
ReLU636,Relu,ACTIVATION_FWD7850337265161305475<CUDNN_ACTIVATION_CL...,0.007874,3072
Dropout646,Dropout,DROPOUT_FWD13242290263159655761,0.008428,1024
Times656,Gemm,GEMV_FWD6905426876734094563,0.012853,2098176
Plus658,ElementWise,OP_TENSOR_ADD_FWD2236676450438229036,0.008465,1024
ReLU670,Relu,ACTIVATION_FWD7850337265161305475<CUDNN_ACTIVATION_CL...,0.007874,3072
Dropout680,Dropout,DROPOUT_FWD13242290263159655761,0.008428,1024
Times690,Gemm,GEMV_FWD13910513919972276568,0.007721,16392
,,Total,1.596912,13977677832
