LayerName,LayerType,Theoretical Flops,flop_count_sp
conv_1,Conv,2682634752,2783705856
conv_1,Conv,2682634752,36498432
relu_1,Relu,18249216,18249216
maxpool_1,Pooling,0,2239488
conv_2,Conv,6144000000,6214092800
conv_2,Conv,6144000000,5120000
relu_2,Relu,2560000,2560000
maxpool_2,Pooling,0,294912
conv_3,Conv,2717908992,2718498816
conv_3,Conv,2717908992,2359296
relu_3,Relu,1179648,1179648
conv_4,Conv,5435817984,3624665088
conv_4,Conv,5435817984,2359296
relu_4,Relu,1179648,1179648
conv_5,Conv,5435817984,3624665088
conv_5,Conv,5435817984,2359296
relu_5,Relu,1179648,1179648
maxpool_3,Pooling,0,147456
gemm_1,Gemm,150999040,153964544
relu_6,Relu,8192,8192
gemm_2,Gemm,8389632,8555520
relu_7,Relu,2048,401408
gemm_3,Gemm,2049000,2137512
softmax_1,Softmax,3000,11389
