LayerName,LayerType,Theoretical Flops,flop_count_sp
convolution,Conv,1196163072,2830090752
batchnorm,BatchNorm,44302336,132972544
activation,Relu,44302336,44302336
pooling,Pooling,0,5537792
convolution1,Conv,3189768192,3139585024
batchnorm1,BatchNorm,22151168,66584576
activation1,Relu,22151168,22151168
pooling1,Pooling,0,2768896
convolution2,Conv,3189768192,3073591296
batchnorm2,BatchNorm,11075584,33488896
activation2,Relu,11075584,11075584
pooling2,Pooling,0,1384448
convolution3,Conv,3189768192,2956398592
batchnorm3,BatchNorm,5537792,17137664
activation3,Relu,5537792,5537792
pooling3,Pooling,0,692224
convolution4,Conv,3189768192,2719088640
batchnorm4,BatchNorm,2768896,8830976
activation4,Relu,2768896,2768896
pooling4,Pooling,0,346112
convolution5,Conv,3189768192,2340917248
batchnorm5,BatchNorm,1384448,4415488
activation5,Relu,1384448,1384448
pooling5,Pooling,0,589824
convolution6,Conv,10871635968,7550566400
batchnorm6,BatchNorm,2359296,7602176
activation6,Relu,2359296,2359296
convolution7,Conv,21743271936,4339559862
batchnorm7,BatchNorm,2359296,7602176
activation7,Relu,2359296,2359296
convolution8,Conv,294912000,302133888
convolution8,Conv,294912000,576000
