LayerName,LayerType,BenchmarkName,RealTime(ms),Theoretical Flops
resnetv17_conv0_fwd,Conv,CONV_FWD3642770210531366104<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_PRECOMP_...,0.689804,944111616
resnetv17_batchnorm0_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE3626237089645801092<CUDNN_BATCHNORM_PER_ACTIVATIO...,0.517383,6422528
resnetv17_relu0_fwd,Relu,ACTIVATION_FWD3219491477374306674<CUDNN_ACTIVATION_RELU>,0.304014,9633792
resnetv17_pool0_fwd,Pooling,POOLING_FWD14411550053955342132<CUDNN_POOLING_MAX_DETERMINISTIC>,0.265324,7225344
resnetv17_stage1_conv0_fwd,Conv,CONV_FWD5920119130740283876<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_PRECOMP_...,0.115296,102760448
resnetv17_stage1_conv0_fwd,Conv,ADD_TENSOR871720720256839071,0.065125,102760448
resnetv17_stage1_batchnorm0_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE14397604007204480704<CUDNN_BATCHNORM_PER_ACTIVATI...,0.133362,1605632
resnetv17_stage1_relu0_fwd,Relu,ACTIVATION_FWD15650437013877670198<CUDNN_ACTIVATION_RELU>,0.082819,2408448
resnetv17_stage1_conv1_fwd,Conv,CONV_FWD12566973362237786756<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,0.367152,924844032
resnetv17_stage1_batchnorm1_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE14397604007204480704<CUDNN_BATCHNORM_PER_ACTIVATI...,0.133362,1605632
resnetv17_stage1_relu1_fwd,Relu,ACTIVATION_FWD15650437013877670198<CUDNN_ACTIVATION_RELU>,0.082819,2408448
resnetv17_stage1_conv2_fwd,Conv,CONV_FWD4638293002954413441<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_PRECOMP_...,0.378078,411041792
resnetv17_stage1_conv2_fwd,Conv,ADD_TENSOR2192693858897388026,0.229509,411041792
resnetv17_stage1_batchnorm2_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE12820041510308751684<CUDNN_BATCHNORM_PER_ACTIVATI...,0.516200,6422528
resnetv17_stage1_conv3_fwd,Conv,CONV_FWD4638293002954413441<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_PRECOMP_...,0.378078,411041792
resnetv17_stage1_batchnorm3_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE12820041510308751684<CUDNN_BATCHNORM_PER_ACTIVATI...,0.516200,6422528
resnetv17_stage1__plus0,ElementWise,OP_TENSOR_ADD_FWD18230516148037049581,0.575956,3211264
resnetv17_stage1_activation0,Relu,ACTIVATION_FWD12616547177222835890<CUDNN_ACTIVATION_RELU>,0.304048,9633792
resnetv17_stage1_conv4_fwd,Conv,CONV_FWD15801342301168635973<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_PRECOMP...,0.315259,411041792
resnetv17_stage1_conv4_fwd,Conv,ADD_TENSOR9617754218824197182,0.065119,411041792
resnetv17_stage1_batchnorm4_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE14397604007204480704<CUDNN_BATCHNORM_PER_ACTIVATI...,0.133362,1605632
resnetv17_stage1_relu2_fwd,Relu,ACTIVATION_FWD15650437013877670198<CUDNN_ACTIVATION_RELU>,0.082819,2408448
resnetv17_stage1_conv5_fwd,Conv,CONV_FWD12566973362237786756<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,0.367152,924844032
resnetv17_stage1_batchnorm5_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE14397604007204480704<CUDNN_BATCHNORM_PER_ACTIVATI...,0.133362,1605632
resnetv17_stage1_relu3_fwd,Relu,ACTIVATION_FWD15650437013877670198<CUDNN_ACTIVATION_RELU>,0.082819,2408448
resnetv17_stage1_conv6_fwd,Conv,CONV_FWD4638293002954413441<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_PRECOMP_...,0.378078,411041792
resnetv17_stage1_conv6_fwd,Conv,ADD_TENSOR2192693858897388026,0.229509,411041792
