LayerName,LayerType,BenchmarkName,RealTime(ms),Theoretical Flops
resnetv17_conv0_fwd,Conv,CONV_FWD_1_TENSORCOREHALF_5151898057350461456<CUDNN_C...,4.374634,3776446464
resnetv17_batchnorm0_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE_TENSORCOREHALF_81531778580025...,0.902345,25690112
resnetv17_relu0_fwd,Relu,ACTIVATION_FWD_TENSORCOREHALF_6012616492224805484<CUD...,0.085621,38535168
resnetv17_pool0_fwd,Pooling,POOLING_FWD_TENSORCOREHALF_2703722332032051931<CUDNN_...,0.063499,28901376
resnetv17_stage1_conv0_fwd,Conv,CONV_FWD_3_TENSORCOREHALF_3718895149533868722<CUDNN_C...,0.038616,411041792
resnetv17_stage1_conv0_fwd,Conv,ADD_TENSOR_TENSORCOREHALF_12674264451055821423,0.033328,411041792
resnetv17_stage1_batchnorm0_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE_TENSORCOREHALF_32166994944925...,0.213971,6422528
resnetv17_stage1_relu0_fwd,Relu,ACTIVATION_FWD_TENSORCOREHALF_2747828929035461584<CUD...,0.027159,9633792
resnetv17_stage1_conv1_fwd,Conv,CONV_FWD_4_TENSORCOREHALF_2279171603838274154<CUDNN_C...,0.086352,3699376128
resnetv17_stage1_batchnorm1_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE_TENSORCOREHALF_32166994944925...,0.213971,6422528
resnetv17_stage1_relu1_fwd,Relu,ACTIVATION_FWD_TENSORCOREHALF_2747828929035461584<CUD...,0.027159,9633792
resnetv17_stage1_conv2_fwd,Conv,CONV_FWD_4_TENSORCOREHALF_17409054851120092527<CUDNN_...,0.081325,1644167168
resnetv17_stage1_conv2_fwd,Conv,ADD_TENSOR_TENSORCOREHALF_17716335290807383761,0.108128,1644167168
resnetv17_stage1_batchnorm2_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE_TENSORCOREHALF_15232171443731...,0.825317,25690112
resnetv17_stage1_conv3_fwd,Conv,CONV_FWD_4_TENSORCOREHALF_17409054851120092527<CUDNN_...,0.081325,1644167168
resnetv17_stage1_batchnorm3_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE_TENSORCOREHALF_15232171443731...,0.825317,25690112
resnetv17_stage1_activation0,Relu,ACTIVATION_FWD_TENSORCOREHALF_17381495418957570492<CU...,0.085654,38535168
resnetv17_stage1_conv4_fwd,Conv,CONV_FWD_1_TENSORCOREHALF_12590704268534381709<CUDNN_...,0.079402,1644167168
resnetv17_stage1_conv4_fwd,Conv,ADD_TENSOR_TENSORCOREHALF_12674264451055821423,0.033328,1644167168
resnetv17_stage1_batchnorm4_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE_TENSORCOREHALF_32166994944925...,0.213971,6422528
resnetv17_stage1_relu2_fwd,Relu,ACTIVATION_FWD_TENSORCOREHALF_2747828929035461584<CUD...,0.027159,9633792
resnetv17_stage1_conv5_fwd,Conv,CONV_FWD_4_TENSORCOREHALF_2279171603838274154<CUDNN_C...,0.086352,3699376128
resnetv17_stage1_batchnorm5_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE_TENSORCOREHALF_32166994944925...,0.213971,6422528
resnetv17_stage1_relu3_fwd,Relu,ACTIVATION_FWD_TENSORCOREHALF_2747828929035461584<CUD...,0.027159,9633792
resnetv17_stage1_conv6_fwd,Conv,CONV_FWD_4_TENSORCOREHALF_17409054851120092527<CUDNN_...,0.081325,1644167168
resnetv17_stage1_conv6_fwd,Conv,ADD_TENSOR_TENSORCOREHALF_17716335290807383761,0.108128,1644167168
resnetv17_stage1_batchnorm6_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE_TENSORCOREHALF_15232171443731...,0.825317,25690112
resnetv17_stage1_activation1,Relu,ACTIVATION_FWD_TENSORCOREHALF_17381495418957570492<CU...,0.085654,38535168
resnetv17_stage1_conv7_fwd,Conv,CONV_FWD_1_TENSORCOREHALF_12590704268534381709<CUDNN_...,0.079402,1644167168
resnetv17_stage1_conv7_fwd,Conv,ADD_TENSOR_TENSORCOREHALF_12674264451055821423,0.033328,1644167168
resnetv17_stage1_batchnorm7_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE_TENSORCOREHALF_32166994944925...,0.213971,6422528
resnetv17_stage1_relu4_fwd,Relu,ACTIVATION_FWD_TENSORCOREHALF_2747828929035461584<CUD...,0.027159,9633792
resnetv17_stage1_conv8_fwd,Conv,CONV_FWD_4_TENSORCOREHALF_2279171603838274154<CUDNN_C...,0.086352,3699376128
resnetv17_stage1_batchnorm8_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE_TENSORCOREHALF_32166994944925...,0.213971,6422528
resnetv17_stage1_relu5_fwd,Relu,ACTIVATION_FWD_TENSORCOREHALF_2747828929035461584<CUD...,0.027159,9633792
resnetv17_stage1_conv9_fwd,Conv,CONV_FWD_4_TENSORCOREHALF_17409054851120092527<CUDNN_...,0.081325,1644167168
resnetv17_stage1_conv9_fwd,Conv,ADD_TENSOR_TENSORCOREHALF_17716335290807383761,0.108128,1644167168
resnetv17_stage1_batchnorm9_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE_TENSORCOREHALF_15232171443731...,0.825317,25690112
resnetv17_stage1_activation2,Relu,ACTIVATION_FWD_TENSORCOREHALF_17381495418957570492<CU...,0.085654,38535168
resnetv17_stage2_conv0_fwd,Conv,CONV_FWD_1_TENSORCOREHALF_17338266893609713108<CUDNN_...,0.042418,822083584
resnetv17_stage2_conv0_fwd,Conv,ADD_TENSOR_TENSORCOREHALF_684658825855088157,0.020628,822083584
resnetv17_stage2_batchnorm0_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE_TENSORCOREHALF_20361026326121...,0.108660,3211264
resnetv17_stage2_relu0_fwd,Relu,ACTIVATION_FWD_TENSORCOREHALF_4473554686471957015<CUD...,0.014977,4816896
resnetv17_stage2_conv1_fwd,Conv,CONV_FWD_1_TENSORCOREHALF_16829358127906387292<CUDNN_...,0.083022,3699376128
resnetv17_stage2_batchnorm1_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE_TENSORCOREHALF_20361026326121...,0.108660,3211264
resnetv17_stage2_relu1_fwd,Relu,ACTIVATION_FWD_TENSORCOREHALF_4473554686471957015<CUD...,0.014977,4816896
resnetv17_stage2_conv2_fwd,Conv,CONV_FWD_2_TENSORCOREHALF_13445801221337370465<CUDNN_...,0.062673,1644167168
resnetv17_stage2_conv2_fwd,Conv,ADD_TENSOR_TENSORCOREHALF_14016127878092075610,0.058418,1644167168
resnetv17_stage2_batchnorm2_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE_TENSORCOREHALF_16224596320801...,0.410741,12845056
resnetv17_stage2_conv3_fwd,Conv,CONV_FWD_3_TENSORCOREHALF_5246075671871281372<CUDNN_C...,0.092839,3288334336
resnetv17_stage2_batchnorm3_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE_TENSORCOREHALF_16224596320801...,0.410741,12845056
resnetv17_stage2_activation0,Relu,ACTIVATION_FWD_TENSORCOREHALF_14086602826690476348<CU...,0.046417,19267584
resnetv17_stage2_conv4_fwd,Conv,CONV_FWD_2_TENSORCOREHALF_15419447480902412617<CUDNN_...,0.056607,1644167168
resnetv17_stage2_conv4_fwd,Conv,ADD_TENSOR_TENSORCOREHALF_684658825855088157,0.020628,1644167168
resnetv17_stage2_batchnorm4_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE_TENSORCOREHALF_20361026326121...,0.108660,3211264
resnetv17_stage2_relu2_fwd,Relu,ACTIVATION_FWD_TENSORCOREHALF_4473554686471957015<CUD...,0.014977,4816896
resnetv17_stage2_conv5_fwd,Conv,CONV_FWD_1_TENSORCOREHALF_16829358127906387292<CUDNN_...,0.083022,3699376128
resnetv17_stage2_batchnorm5_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE_TENSORCOREHALF_20361026326121...,0.108660,3211264
resnetv17_stage2_relu3_fwd,Relu,ACTIVATION_FWD_TENSORCOREHALF_4473554686471957015<CUD...,0.014977,4816896
resnetv17_stage2_conv6_fwd,Conv,CONV_FWD_2_TENSORCOREHALF_13445801221337370465<CUDNN_...,0.062673,1644167168
resnetv17_stage2_conv6_fwd,Conv,ADD_TENSOR_TENSORCOREHALF_14016127878092075610,0.058418,1644167168
resnetv17_stage2_batchnorm6_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE_TENSORCOREHALF_16224596320801...,0.410741,12845056
resnetv17_stage2_activation1,Relu,ACTIVATION_FWD_TENSORCOREHALF_14086602826690476348<CU...,0.046417,19267584
resnetv17_stage2_conv7_fwd,Conv,CONV_FWD_2_TENSORCOREHALF_15419447480902412617<CUDNN_...,0.056607,1644167168
resnetv17_stage2_conv7_fwd,Conv,ADD_TENSOR_TENSORCOREHALF_684658825855088157,0.020628,1644167168
resnetv17_stage2_batchnorm7_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE_TENSORCOREHALF_20361026326121...,0.108660,3211264
resnetv17_stage2_relu4_fwd,Relu,ACTIVATION_FWD_TENSORCOREHALF_4473554686471957015<CUD...,0.014977,4816896
resnetv17_stage2_conv8_fwd,Conv,CONV_FWD_1_TENSORCOREHALF_16829358127906387292<CUDNN_...,0.083022,3699376128
resnetv17_stage2_batchnorm8_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE_TENSORCOREHALF_20361026326121...,0.108660,3211264
resnetv17_stage2_relu5_fwd,Relu,ACTIVATION_FWD_TENSORCOREHALF_4473554686471957015<CUD...,0.014977,4816896
resnetv17_stage2_conv9_fwd,Conv,CONV_FWD_2_TENSORCOREHALF_13445801221337370465<CUDNN_...,0.062673,1644167168
resnetv17_stage2_conv9_fwd,Conv,ADD_TENSOR_TENSORCOREHALF_14016127878092075610,0.058418,1644167168
resnetv17_stage2_batchnorm9_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE_TENSORCOREHALF_16224596320801...,0.410741,12845056
resnetv17_stage2_activation2,Relu,ACTIVATION_FWD_TENSORCOREHALF_14086602826690476348<CU...,0.046417,19267584
resnetv17_stage2_conv10_fwd,Conv,CONV_FWD_2_TENSORCOREHALF_15419447480902412617<CUDNN_...,0.056607,1644167168
resnetv17_stage2_conv10_fwd,Conv,ADD_TENSOR_TENSORCOREHALF_684658825855088157,0.020628,1644167168
resnetv17_stage2_batchnorm10_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE_TENSORCOREHALF_20361026326121...,0.108660,3211264
resnetv17_stage2_relu6_fwd,Relu,ACTIVATION_FWD_TENSORCOREHALF_4473554686471957015<CUD...,0.014977,4816896
resnetv17_stage2_conv11_fwd,Conv,CONV_FWD_1_TENSORCOREHALF_16829358127906387292<CUDNN_...,0.083022,3699376128
resnetv17_stage2_batchnorm11_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE_TENSORCOREHALF_20361026326121...,0.108660,3211264
