LayerName,LayerType,BenchmarkName,RealTime(ms),Theoretical Flops
conv_1,Conv,CONV_FWD_28759916393648210167<CUDNN_CONVOLUTION_FWD_A...,9.977737,5365269504
conv_1,Conv,ADD_TENSOR11098909241843569555,0.045405,5365269504
relu_1,Relu,ACTIVATION_FWD12300382717967216354<CUDNN_ACTIVATION_C...,2.555646,54747648
maxpool_1,Pooling,POOLING_FWD16210243556465305231<CUDNN_POOLING_MAX>,1.906000,40310784
conv_2,Conv,CONV_FWD_115987220864852674241<CUDNN_CONVOLUTION_FWD_...,14.078912,12288000000
conv_2,Conv,ADD_TENSOR17353201795162772726,1.201896,12288000000
relu_2,Relu,ACTIVATION_FWD2213088606381581845<CUDNN_ACTIVATION_CL...,0.201690,7680000
maxpool_2,Pooling,POOLING_FWD5554699288372868551<CUDNN_POOLING_MAX>,0.293879,5308416
conv_3,Conv,CONV_FWD_27829983385763826240<CUDNN_CONVOLUTION_FWD_A...,2.449012,5435817984
conv_3,Conv,ADD_TENSOR10322240233068747044,1.325733,5435817984
relu_3,Relu,ACTIVATION_FWD12781314909704293623<CUDNN_ACTIVATION_R...,0.097074,3538944
conv_4,Conv,CONV_FWD_113225717491924840269<CUDNN_CONVOLUTION_FWD_...,4.262432,10871635968
conv_4,Conv,ADD_TENSOR11135113001072426362,2.834024,10871635968
relu_4,Relu,ACTIVATION_FWD12781314909704293623<CUDNN_ACTIVATION_R...,0.097074,3538944
conv_5,Conv,CONV_FWD_113225717491924840269<CUDNN_CONVOLUTION_FWD_...,4.262432,10871635968
conv_5,Conv,ADD_TENSOR11135113001072426362,2.834024,10871635968
relu_5,Relu,ACTIVATION_FWD12781314909704293623<CUDNN_ACTIVATION_R...,0.097074,3538944
maxpool_3,Pooling,POOLING_FWD6884313423320085589<CUDNN_POOLING_MAX_DETE...,0.104206,1179648
gemm_1,Gemm,GEMV_FWD8958421053623384053,2.431773,150999040
relu_6,Relu,ACTIVATION_FWD4417384752537277487<CUDNN_ACTIVATION_CL...,0.017844,12288
gemm_2,Gemm,GEMV_FWD130183835652407696,0.162129,8389632
relu_7,Relu,ACTIVATION_FWD12568690289001511775<CUDNN_ACTIVATION_R...,0.015718,3072
gemm_3,Gemm,GEMV_FWD10003385830724951581,0.069831,2049000
softmax_1,Softmax,"SOFTMAX_FWD18440445221543183201<CUDNN_SOFTMAX_FAST, C...",0.016855,3000
,,Total,51.338400,89946018208
