LayerName,LayerType,BenchmarkName,RealTime(ms),Theoretical Flops
convolution,Conv,CONV_FWD14335022513543669228<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_PRECOMP...,0.420525,149520384
batchnorm,BatchNorm,BATCHNORM_FWD_INFERENCE5444098005303343977<CUDNN_BATCHNORM_SPATIAL>,0.316945,5537792
activation,Relu,ACTIVATION_FWD5879432619113293132<CUDNN_ACTIVATION_RELU>,0.260605,8306688
pooling,Pooling,POOLING_FWD16804310378983681192<CUDNN_POOLING_MAX>,0.150713,2768896
convolution1,Conv,CONV_FWD14695411386340329370<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_PRECOMP...,0.325191,398721024
batchnorm1,BatchNorm,BATCHNORM_FWD_INFERENCE13125895023615106261<CUDNN_BATCHNORM_SPATIAL>,0.133100,2768896
activation1,Relu,ACTIVATION_FWD12408025421394100976<CUDNN_ACTIVATION_RELU>,0.135739,4153344
pooling1,Pooling,POOLING_FWD16001852019131942782<CUDNN_POOLING_MAX>,0.084803,1384448
convolution2,Conv,CONV_FWD11703416624308197126<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,0.248763,398721024
batchnorm2,BatchNorm,BATCHNORM_FWD_INFERENCE9684682785419790489<CUDNN_BATCHNORM_SPATIAL>,0.072783,1384448
activation2,Relu,ACTIVATION_FWD11275963661851203260<CUDNN_ACTIVATION_RELU>,0.072117,2076672
pooling2,Pooling,POOLING_FWD6563922941293607184<CUDNN_POOLING_MAX_DETERMINISTIC>,0.053588,692224
convolution3,Conv,CONV_FWD1954390266813086425<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,0.224969,398721024
batchnorm3,BatchNorm,BATCHNORM_FWD_INFERENCE18003683191199470622<CUDNN_BATCHNORM_SPATIAL>,0.037190,692224
activation3,Relu,ACTIVATION_FWD16412046001613736507<CUDNN_ACTIVATION_RELU>,0.027674,1038336
pooling3,Pooling,POOLING_FWD9707166659806683817<CUDNN_POOLING_MAX_DETERMINISTIC>,0.028201,346112
convolution4,Conv,CONV_FWD2400018132510730956<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,0.210330,398721024
batchnorm4,BatchNorm,BATCHNORM_FWD_INFERENCE9906694078305405680<CUDNN_BATCHNORM_SPATIAL>,0.022765,346112
activation4,Relu,ACTIVATION_FWD6095698385120626904<CUDNN_ACTIVATION_RELU>,0.014929,519168
pooling4,Pooling,POOLING_FWD9261481645010912869<CUDNN_POOLING_MAX_DETERMINISTIC>,0.020671,173056
convolution5,Conv,CONV_FWD11754848005046366926<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,0.368574,398721024
batchnorm5,BatchNorm,BATCHNORM_FWD_INFERENCE18167969635335492639<CUDNN_BATCHNORM_SPATIAL>,0.014543,173056
activation5,Relu,ACTIVATION_FWD16589918229931117114<CUDNN_ACTIVATION_RELU>,0.013471,259584
pooling5,Pooling,POOLING_FWD2440296035911546227<CUDNN_POOLING_MAX_DETERMINISTIC>,0.024321,294912
convolution6,Conv,CONV_FWD1073291366498421897<CUDNN_CONVOLUTION_FWD_ALGO_GEMM>,1.331888,1358954496
batchnorm6,BatchNorm,BATCHNORM_FWD_INFERENCE9421847668401166121<CUDNN_BATCHNORM_SPATIAL>,0.017638,294912
activation6,Relu,ACTIVATION_FWD11014540330664446220<CUDNN_ACTIVATION_RELU>,0.014944,442368
convolution7,Conv,CONV_FWD13871823205213054728<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_PRECOMP...,3.013975,2717908992
batchnorm7,BatchNorm,BATCHNORM_FWD_INFERENCE9421847668401166121<CUDNN_BATCHNORM_SPATIAL>,0.017638,294912
activation7,Relu,ACTIVATION_FWD11014540330664446220<CUDNN_ACTIVATION_RELU>,0.014944,442368
convolution8,Conv,CONV_FWD5645069588596909346<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>,0.292731,36864000
convolution8,Conv,ADD_TENSOR16963531026960159933,0.011520,36864000
,,Total,7.997788,6328107520
