LayerName,LayerType,BenchmarkName,RealTime(ms),Theoretical Flops
conv_1,Conv,CONV_FWD_28759916393648210167<CUDNN_CONVOLUTION_FWD_A...,0.516258,5365269504
conv_1,Conv,ADD_TENSOR11098909241843569555,0.014638,5365269504
relu_1,Relu,ACTIVATION_FWD12300382717967216354<CUDNN_ACTIVATION_R...,0.260913,54747648
maxpool_1,Pooling,POOLING_FWD16210243556465305231<CUDNN_POOLING_MAX_DET...,0.204692,40310784
conv_2,Conv,CONV_FWD_115987220864852674241<CUDNN_CONVOLUTION_FWD_...,1.048555,12288000000
conv_2,Conv,ADD_TENSOR17353201795162772726,0.178568,12288000000
relu_2,Relu,ACTIVATION_FWD2213088606381581845<CUDNN_ACTIVATION_RE...,0.041502,7680000
maxpool_2,Pooling,POOLING_FWD5554699288372868551<CUDNN_POOLING_MAX>,0.035050,5308416
conv_3,Conv,CONV_FWD_27829983385763826240<CUDNN_CONVOLUTION_FWD_A...,0.324487,5435817984
conv_3,Conv,ADD_TENSOR10322240233068747044,0.209018,5435817984
relu_3,Relu,ACTIVATION_FWD12781314909704293623<CUDNN_ACTIVATION_R...,0.022369,3538944
conv_4,Conv,CONV_FWD_113225717491924840269<CUDNN_CONVOLUTION_FWD_...,0.608438,10871635968
conv_4,Conv,ADD_TENSOR11135113001072426362,0.406900,10871635968
relu_4,Relu,ACTIVATION_FWD12781314909704293623<CUDNN_ACTIVATION_R...,0.022369,3538944
conv_5,Conv,CONV_FWD_113225717491924840269<CUDNN_CONVOLUTION_FWD_...,0.608438,10871635968
conv_5,Conv,ADD_TENSOR11135113001072426362,0.406900,10871635968
relu_5,Relu,ACTIVATION_FWD12781314909704293623<CUDNN_ACTIVATION_R...,0.022369,3538944
maxpool_3,Pooling,POOLING_FWD6884313423320085589<CUDNN_POOLING_MAX_DETE...,0.018342,1179648
gemm_1,Gemm,GEMV_FWD8958421053623384053,0.480857,150999040
relu_6,Relu,ACTIVATION_FWD4417384752537277487<CUDNN_ACTIVATION_RE...,0.006201,12288
gemm_2,Gemm,GEMV_FWD130183835652407696,0.052522,8389632
relu_7,Relu,ACTIVATION_FWD12568690289001511775<CUDNN_ACTIVATION_C...,0.006203,3072
gemm_3,Gemm,GEMV_FWD10003385830724951581,0.010735,2049000
softmax_1,Softmax,"SOFTMAX_FWD18440445221543183201<CUDNN_SOFTMAX_FAST, C...",0.005885,3000
,,Total,5.512209,89946018208
